Initial Topology,,,,Target Topology,,
source switch,target switch,speed,,source switch,target switch,speed
fa001.uu001.f01,eb01.f01,800000000000.0,,fa001.uu001.f03,eb01.f01,800000000000.0
fa001.uu001.f02,eb01.f01,800000000000.0,,fa001.uu001.f04,eb01.f01,800000000000.0
fa001.uu002.f01,eb01.f01,800000000000.0,,fa001.uu002.f03,eb01.f01,800000000000.0
fa001.uu002.f02,eb01.f01,800000000000.0,,fa001.uu002.f04,eb01.f01,800000000000.0
fa002.uu001.f01,eb01.f01,800000000000.0,,fa002.uu001.f03,eb01.f01,800000000000.0
fa002.uu001.f02,eb01.f01,800000000000.0,,fa002.uu001.f04,eb01.f01,800000000000.0
fa002.uu002.f01,eb01.f01,800000000000.0,,fa002.uu002.f03,eb01.f01,800000000000.0
fa002.uu002.f02,eb01.f01,800000000000.0,,fa002.uu002.f04,eb01.f01,800000000000.0
fa001.du001.f01,fa001.uu001.f01,800000000000.0,,fa001.du001.f03,fa001.uu001.f03,800000000000.0
fa001.du001.f01,fa001.uu002.f01,800000000000.0,,fa001.du001.f03,fa001.uu002.f03,800000000000.0
fa001.du001.f02,fa001.uu001.f02,800000000000.0,,fa001.du001.f04,fa001.uu001.f04,800000000000.0
fa001.du001.f02,fa001.uu002.f02,800000000000.0,,fa001.du001.f04,fa001.uu002.f04,800000000000.0
fa001.du002.f01,fa001.uu001.f01,800000000000.0,,fa001.du002.f03,fa001.uu001.f03,800000000000.0
fa001.du002.f01,fa001.uu002.f01,800000000000.0,,fa001.du002.f03,fa001.uu002.f03,800000000000.0
fa001.du002.f02,fa001.uu001.f02,800000000000.0,,fa001.du002.f04,fa001.uu001.f04,800000000000.0
fa001.du002.f02,fa001.uu002.f02,800000000000.0,,fa001.du002.f04,fa001.uu002.f04,800000000000.0
fa002.du001.f01,fa002.uu001.f01,800000000000.0,,fa002.du001.f03,fa002.uu001.f03,800000000000.0
fa002.du001.f01,fa002.uu002.f01,800000000000.0,,fa002.du001.f03,fa002.uu002.f03,800000000000.0
fa002.du001.f02,fa002.uu001.f02,800000000000.0,,fa002.du001.f04,fa002.uu001.f04,800000000000.0
fa002.du001.f02,fa002.uu002.f02,800000000000.0,,fa002.du001.f04,fa002.uu002.f04,800000000000.0
fa002.du002.f01,fa002.uu001.f01,800000000000.0,,fa002.du002.f03,fa002.uu001.f03,800000000000.0
fa002.du002.f01,fa002.uu002.f01,800000000000.0,,fa002.du002.f03,fa002.uu002.f03,800000000000.0
fa002.du002.f02,fa002.uu001.f02,800000000000.0,,fa002.du002.f04,fa002.uu001.f04,800000000000.0
fa002.du002.f02,fa002.uu002.f02,800000000000.0,,fa002.du002.f04,fa002.uu002.f04,800000000000.0
ssw001.s001.f01,fa001.du001.f01,100000000000.0,,ssw001.s001.f01,fa001.du001.f03,100000000000.0
ssw001.s001.f01,fa001.du001.f02,100000000000.0,,ssw001.s001.f01,fa001.du001.f04,100000000000.0
ssw001.s001.f01,fa002.du001.f01,100000000000.0,,ssw001.s001.f01,fa002.du001.f03,100000000000.0
ssw001.s001.f01,fa002.du001.f02,100000000000.0,,ssw001.s001.f01,fa002.du001.f04,100000000000.0
