switch type
ssw023.s003.f03 SSW
ssw024.s003.f01 SSW
fsw003.p009.f02 FSW
fsw001.p021.f04 FSW
fsw002.p009.f03 FSW
fa003-du006.f01 FADU
fa003-du016.f02 FADU
fa004-uu001.f02 FAUU
fsw002.p004.f02 FSW
ssw026.s003.f01 SSW
ssw018.s004.f04 SSW
ssw007.s003.f03 SSW
fsw004.p025.f04 FSW
fsw001.p007.f02 FSW
fsw003.p002.f01 FSW
fsw003.p029.f02 FSW
fsw002.p002.f02 FSW
fsw003.p026.f02 FSW
fsw004.p032.f02 FSW
fsw004.p023.f01 FSW
ssw019.s002.f03 SSW
fsw004.p027.f03 FSW
fsw002.p020.f04 FSW
ssw015.s001.f03 SSW
fsw004.p013.f04 FSW
fsw002.p011.f02 FSW
fa002-du009.f02 FADU
fsw002.p014.f04 FSW
fsw001.p014.f04 FSW
ssw008.s003.f02 SSW
fsw002.p019.f03 FSW
fsw003.p003.f02 FSW
fsw004.p014.f02 FSW
ssw018.s003.f03 SSW
fa002-du004.f01 FADU
ssw023.s001.f01 SSW
ssw021.s003.f02 SSW
fsw003.p031.f04 FSW
fsw002.p012.f03 FSW
fsw003.p014.f03 FSW
fsw001.p016.f02 FSW
ssw010.s003.f04 SSW
fsw002.p021.f04 FSW
fsw004.p018.f04 FSW
ssw026.s002.f01 SSW
ssw015.s001.f04 SSW
fsw004.p021.f03 FSW
fsw004.p017.f04 FSW
ssw022.s004.f04 SSW
ssw002.s002.f02 SSW
fsw001.p021.f03 FSW
fsw001.p023.f04 FSW
ssw022.s003.f01 SSW
ssw029.s003.f02 SSW
fsw004.p010.f01 FSW
ssw027.s001.f02 SSW
fsw004.p013.f02 FSW
ssw013.s001.f04 SSW
fsw001.p019.f02 FSW
fsw003.p010.f01 FSW
fsw003.p011.f03 FSW
ssw007.s003.f02 SSW
ssw032.s004.f02 SSW
fa002-uu003.f01 FAUU
ssw017.s004.f03 SSW
fsw003.p001.f02 FSW
fa002-du013.f02 FADU
fsw003.p007.f04 FSW
ssw011.s001.f02 SSW
fa003-du010.f02 FADU
fsw001.p013.f04 FSW
fsw002.p024.f04 FSW
fsw004.p020.f03 FSW
ssw016.s001.f02 SSW
fa003-uu001.f01 FAUU
ssw029.s004.f04 SSW
fsw002.p001.f03 FSW
fsw001.p018.f01 FSW
fsw002.p016.f02 FSW
fa001-du001.f01 FADU
fsw004.p019.f01 FSW
fsw001.p018.f02 FSW
fsw002.p014.f02 FSW
fsw004.p023.f03 FSW
fa004-du008.f02 FADU
fsw001.p010.f02 FSW
fsw001.p024.f03 FSW
ssw006.s004.f02 SSW
ssw032.s004.f04 SSW
fsw001.p025.f01 FSW
ssw004.s003.f01 SSW
fsw002.p006.f04 FSW
fa003-uu002.f02 FAUU
fsw004.p018.f02 FSW
fa002-du010.f02 FADU
ssw024.s001.f04 SSW
fsw003.p020.f04 FSW
ssw013.s003.f01 SSW
fsw002.p007.f01 FSW
ssw014.s003.f03 SSW
fsw003.p010.f04 FSW
ssw015.s002.f01 SSW
ssw030.s003.f03 SSW
fsw001.p013.f01 FSW
ssw027.s003.f01 SSW
fsw002.p030.f03 FSW
fsw004.p018.f03 FSW
fsw004.p005.f02 FSW
ssw012.s002.f03 SSW
ssw004.s001.f03 SSW
fsw002.p006.f03 FSW
ssw006.s003.f01 SSW
ssw018.s002.f02 SSW
fsw001.p031.f02 FSW
ssw009.s001.f04 SSW
fa001-du010.f01 FADU
fsw003.p028.f01 FSW
fsw003.p032.f04 FSW
ssw028.s002.f02 SSW
fa004-du002.f02 FADU
ssw001.s002.f04 SSW
fsw004.p028.f01 FSW
fsw002.p002.f04 FSW
fa002-du014.f01 FADU
fa004-du004.f02 FADU
fsw004.p001.f03 FSW
ssw027.s002.f04 SSW
ssw027.s001.f01 SSW
fa001-du002.f01 FADU
fsw001.p032.f03 FSW
ssw001.s003.f01 SSW
ssw012.s001.f02 SSW
fsw004.p021.f02 FSW
ssw029.s001.f03 SSW
ssw020.s001.f04 SSW
fsw003.p003.f04 FSW
fa002-uu001.f01 FAUU
fsw002.p001.f01 FSW
fa003-du009.f02 FADU
ssw028.s003.f01 SSW
ssw032.s002.f01 SSW
fa001-du009.f02 FADU
fsw004.p019.f04 FSW
ssw008.s003.f04 SSW
ssw028.s003.f04 SSW
ssw013.s001.f02 SSW
fsw004.p012.f02 FSW
fsw004.p009.f02 FSW
ssw009.s003.f03 SSW
ssw009.s001.f02 SSW
ssw019.s002.f02 SSW
ssw005.s001.f04 SSW
ssw023.s003.f04 SSW
fa004-du001.f02 FADU
fa003-du003.f02 FADU
ssw029.s004.f02 SSW
fsw002.p007.f03 FSW
fsw004.p015.f03 FSW
ssw015.s003.f01 SSW
fsw003.p004.f02 FSW
fsw004.p009.f03 FSW
ssw018.s002.f03 SSW
ssw004.s001.f04 SSW
fsw004.p031.f01 FSW
fsw001.p027.f04 FSW
ssw010.s003.f02 SSW
fsw001.p015.f04 FSW
ssw013.s002.f01 SSW
ssw021.s003.f01 SSW
ssw031.s004.f03 SSW
fsw003.p004.f04 FSW
ssw025.s004.f03 SSW
fa001-du006.f01 FADU
ssw027.s003.f03 SSW
fsw002.p016.f04 FSW
fa004-uu004.f02 FAUU
ssw013.s002.f03 SSW
fsw004.p004.f01 FSW
ssw005.s001.f03 SSW
fsw001.p017.f03 FSW
fsw001.p021.f02 FSW
ssw004.s004.f03 SSW
ssw019.s002.f01 SSW
ssw027.s002.f01 SSW
fsw002.p010.f03 FSW
ssw030.s001.f02 SSW
fsw004.p028.f04 FSW
fsw002.p018.f03 FSW
fa003-du015.f01 FADU
fa003-du002.f02 FADU
fsw004.p016.f04 FSW
ssw024.s001.f02 SSW
ssw002.s004.f04 SSW
fsw003.p003.f01 FSW
fsw003.p012.f04 FSW
fsw004.p020.f04 FSW
fsw004.p026.f02 FSW
ssw021.s004.f02 SSW
ssw029.s003.f01 SSW
fsw004.p007.f02 FSW
ssw008.s003.f03 SSW
fsw003.p018.f03 FSW
fsw003.p018.f04 FSW
ssw028.s003.f02 SSW
